Site,Parameter,Date LT,Year,Month,Day,Hour,NowCast Conc,AQI,AQI Category,Raw Conc,Conc Unit,Duration,QC Name
Ulaanbaatar,PM2.5 - Principal,01-01-2020 01:00,2020,1,1,1,384,423,Hazardous,350,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 02:00,2020,1,1,2,247,297,Very Unhealthy,110,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 03:00,2020,1,1,3,326.5,376,Hazardous,406,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 04:00,2020,1,1,4,222.2,272,Very Unhealthy,118,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 05:00,2020,1,1,5,420.7,447,Hazardous,619,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 06:00,2020,1,1,6,257.8,308,Hazardous,95,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 07:00,2020,1,1,7,169.9,220,Very Unhealthy,82,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 08:00,2020,1,1,8,116.9,183,Unhealthy,64,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 09:00,2020,1,1,9,128.4,189,Unhealthy,140,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 10:00,2020,1,1,10,98.2,173,Unhealthy,68,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 11:00,2020,1,1,11,94,171,Unhealthy,90,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 12:00,2020,1,1,12,123.4,186,Unhealthy,153,UG/M3,1 Hr,Valid
Ulaanbaatar,PM2.5 - Principal,01-01-2020 13:00,2020,1,1,13,105.7,177,Unhealthy,88,UG/M3,1 Hr,Valid
