,Site,Parameter,Date_LT,Year,Month,Day,Hour,NowCast_Conc,AQI,AQI_Category,Raw_Conc,Conc_Unit,Duration,QC_Name
9,Ulaanbaatar,PM2.5 - Principal,2018-01-01 10:00:00,2018,1,1,10,208.9,259.0,Very Unhealthy,94.0,UG/M3,1 Hr,Valid
10,Ulaanbaatar,PM2.5 - Principal,2018-01-01 11:00:00,2018,1,1,11,175.9,226.0,Very Unhealthy,144.0,UG/M3,1 Hr,Valid
13,Ulaanbaatar,PM2.5 - Principal,2018-01-01 14:00:00,2018,1,1,14,158.0,208.0,Very Unhealthy,151.0,UG/M3,1 Hr,Valid
16,Ulaanbaatar,PM2.5 - Principal,2018-01-01 17:00:00,2018,1,1,17,143.3,196.0,Unhealthy,135.0,UG/M3,1 Hr,Valid
17,Ulaanbaatar,PM2.5 - Principal,2018-01-01 18:00:00,2018,1,1,18,105.6,177.0,Unhealthy,68.0,UG/M3,1 Hr,Valid
18,Ulaanbaatar,PM2.5 - Principal,2018-01-01 19:00:00,2018,1,1,19,81.7,165.0,Unhealthy,58.0,UG/M3,1 Hr,Valid
19,Ulaanbaatar,PM2.5 - Principal,2018-01-01 20:00:00,2018,1,1,20,83.8,166.0,Unhealthy,86.0,UG/M3,1 Hr,Valid
20,Ulaanbaatar,PM2.5 - Principal,2018-01-01 21:00:00,2018,1,1,21,135.9,193.0,Unhealthy,188.0,UG/M3,1 Hr,Valid
25,Ulaanbaatar,PM2.5 - Principal,2018-02-01 02:00:00,2018,1,2,2,217.4,267.0,Very Unhealthy,74.0,UG/M3,1 Hr,Valid
26,Ulaanbaatar,PM2.5 - Principal,2018-02-01 03:00:00,2018,1,2,3,137.2,193.0,Unhealthy,57.0,UG/M3,1 Hr,Valid
27,Ulaanbaatar,PM2.5 - Principal,2018-02-01 04:00:00,2018,1,2,4,100.6,174.0,Unhealthy,64.0,UG/M3,1 Hr,Valid
28,Ulaanbaatar,PM2.5 - Principal,2018-02-01 05:00:00,2018,1,2,5,78.7,163.0,Unhealthy,57.0,UG/M3,1 Hr,Valid
29,Ulaanbaatar,PM2.5 - Principal,2018-02-01 06:00:00,2018,1,2,6,75.3,161.0,Unhealthy,72.0,UG/M3,1 Hr,Valid
30,Ulaanbaatar,PM2.5 - Principal,2018-02-01 07:00:00,2018,1,2,7,61.1,154.0,Unhealthy,47.0,UG/M3,1 Hr,Valid
31,Ulaanbaatar,PM2.5 - Principal,2018-02-01 08:00:00,2018,1,2,8,63.0,155.0,Unhealthy,65.0,UG/M3,1 Hr,Valid
32,Ulaanbaatar,PM2.5 - Principal,2018-02-01 09:00:00,2018,1,2,9,119.5,184.0,Unhealthy,176.0,UG/M3,1 Hr,Valid
43,Ulaanbaatar,PM2.5 - Principal,2018-02-01 20:00:00,2018,1,2,20,44.1,122.0,Unhealthy for Sensitive Groups,54.0,UG/M3,1 Hr,Valid
44,Ulaanbaatar,PM2.5 - Principal,2018-02-01 21:00:00,2018,1,2,21,77.6,162.0,Unhealthy,111.0,UG/M3,1 Hr,Valid
45,Ulaanbaatar,PM2.5 - Principal,2018-02-01 22:00:00,2018,1,2,22,70.2,159.0,Unhealthy,63.0,UG/M3,1 Hr,Valid
